tempo,beats,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate
103.359375,50,0.380260210341482,0.24826228618621826,2116.9429590051586,1956.6110562233207,4196.10796004257,0.12727247303115324
95.703125,44,0.3064508714632783,0.11347541213035583,1156.0704963820428,1497.6681759683513,2170.053544649768,0.05861340218653251
151.99908088235293,75,0.25348710245505335,0.15157076716423035,1331.0739701050647,1973.6434372895203,2900.174129710478,0.04296723829334365
184.5703125,91,0.26932002161441265,0.11907171458005905,1361.0454673278873,1567.8045957296163,2739.6251005284926,0.06912392064144737
161.4990234375,74,0.3910586048908631,0.13772834837436676,1811.0760835832946,2052.3325634591984,3927.8095824061534,0.07547951335139319
107.666015625,51,0.35658817574125506,0.16202762722969055,2068.3711246841767,2033.9300469624952,4231.499412701964,0.10437162889415634
161.4990234375,80,0.3747097195357098,0.11049626022577286,2340.4328733825514,2256.538115173274,4972.503265286377,0.1217751517753483
151.99908088235293,74,0.4308941251036067,0.19622159004211426,1946.5656516997744,1979.9099336776742,3955.8677460756094,0.09745368130804953
92.28515625,45,0.2909484345848451,0.0892222598195076,1109.5696272816494,1463.2881312997417,2243.569766773897,0.05172493288022446
151.99908088235293,70,0.3291627346813485,0.06698053330183029,1172.0656952451861,1705.8175015242066,2344.952487059791,0.045045834945820436
58.72691761363637,26,0.37769044494973586,0.06590629369020462,569.9307210492651,995.4071254154082,927.4277253047601,0.021700549051857584
117.45383522727273,53,0.3751581891905781,0.19828161597251892,1236.5742801274876,1602.309124322475,2604.15091972233,0.04462595842202012
172.265625,83,0.39772477616922824,0.13489176332950592,2272.495078762922,2356.855937297162,5108.319110693208,0.09765700585332818
143.5546875,66,0.26057377866606124,0.05134931951761246,1132.3406288744395,1582.4920466586439,2065.4791769966623,0.048313766810178016
135.99917763157896,67,0.36997251421883237,0.1871483325958252,1388.39474862631,1772.854380462517,2754.525010430776,0.05714742465654025
161.4990234375,80,0.2899323200045883,0.1031152680516243,2513.716817329611,2345.230614186449,5247.443269428454,0.13514619715073528
73.828125,35,0.30526217800779015,0.12054178863763809,2429.260934160635,2286.6252810980545,5065.0277058037445,0.13468663832720587
117.45383522727273,54,0.36815823777467027,0.2424335777759552,1827.148035708558,1898.717123611609,3743.6190295145607,0.09403873597136223
103.359375,44,0.37668670275283406,0.14101780951023102,1239.3372282343391,1659.4664703824992,2517.6181096410605,0.05090785543246904
129.19921875,62,0.2804564550451547,0.12471523135900497,1649.2937714648351,2190.248305756796,3761.42725516399,0.05292636174535604
